CO_EXPEDIENTE,NU_PROCESSO,NU_ACAO,NU_GRUPO_ASSUNTO,NU_ASSUNTO
21.000.08152/2018,10002699220185020007,203,58,"[63, 506, 531]"
21.000.08153/2018,10001101320185020602,54,47,"[138, 176, 531]"
21.000.08156/2018,10016617520175020048,54,47,"[138, 176, 531]"
21.000.08167/2018,00000049020185020045,238,51,"[63, 65, 142, 409, 436, 505, 506, 507, 527, 621, 928, 929]"
21.000.08200/2017,10001878820175020462,54,46,"[63, 340, 409, 531, 928, 929]"
21.000.08276/2017,10002598020175020719,54,47,"[138, 176, 531]"
21.000.08280/2017,10016200220165020321,54,51,"[63, 340, 436, 531, 716]"
21.000.08282/2017,10021892420165020023,54,46,"[63, 340, 436, 506, 507, 531, 621, 705, 706]"
21.000.08283/2017,10001949220175020264,54,46,"[63, 340, 506, 531, 928, 929]"
21.000.08286/2017,10001820620175020482,54,51,"[20, 436, 527, 531, 705, 706, 716]"
21.000.08289/2017,10001552120175020030,54,47,"[50, 138, 176, 531]"
21.000.08296/2017,10002288020175020001,54,47,"[138, 176, 531]"
21.000.08301/2017,10002564920175020033,54,47,"[50, 138, 176, 531]"
21.000.08304/2017,10010408420165020025,54,47,"[138, 176, 531]"
21.000.08361/2018,10001912320185020323,9,75,"[340, 508, 524, 531]"
21.000.08363/2018,10002094420185020323,54,47,"[138, 176, 531]"
21.000.08379/2018,10000899120185020002,54,47,"[50, 138, 176, 531]"
21.000.08393/2018,10020357820175020311,54,75,"[63, 65, 340, 508, 531]"
21.000.08418/2017,10002566220175020061,54,47,"[50, 138, 176, 531]"
21.000.08435/2017,10001298120175020043,54,47,"[50, 138, 176, 531]"
21.000.08436/2017,10001372320175020087,54,47,"[138, 176, 531]"
21.000.08444/2017,10001657120175020610,54,47,"[50, 138, 176, 531]"
21.000.08449/2017,10027408620165020610,54,75,"[63, 508, 531]"
21.000.08450/2017,10020135920165020083,54,62,"[20, 340, 507, 531]"
21.000.08451/2017,10001328420175020318,54,46,"[63, 96, 340, 436, 508, 621, 705, 709, 929]"
21.000.08537/2018,10002095820185020383,54,75,"[63, 65, 340, 508, 531]"
21.000.08538/2018,10001989320185020006,54,75,"[63, 340, 508, 531]"
21.000.08539/2018,10003018520185020205,54,75,"[63, 340, 508, 531]"
21.000.08541/2018,10001689720185020381,54,47,"[176, 531, 572]"
21.000.08543/2018,10000180220185020322,54,47,"[50, 138, 176, 531]"
21.000.08575/2017,10002756120175020613,54,47,"[138, 176, 531]"
21.000.08577/2017,10025759220165020463,54,47,"[50, 138, 176, 531]"
21.000.08696/2017,00116297220165150064,54,46,"[63, 340, 436, 508, 531, 621, 706, 929]"
21.000.08750/2018,10017046020175020032,54,75,"[63, 65, 508, 531]"
21.000.08753/2017,10002196320175020472,54,47,"[50, 138, 176, 531]"
21.000.08769/2018,10014278320175020019,54,47,"[138, 176, 531]"
21.000.08776/2018,10002329120185020063,54,51,"[63, 340, 436, 527, 531, 705]"
21.000.08790/2018,10001653720185020028,54,61,"[20, 24, 340, 531]"
21.000.08792/2018,10017675320175020075,54,998,"[8, 63, 340, 531, 716]"
21.000.08794/2018,10001949020185020027,54,47,"[138, 176, 531]"
21.000.08795/2018,00124902420175150064,54,54,"[63, 340, 436, 507, 508, 527, 531, 621, 706, 709]"
21.000.08800/2018,10002698620185020009,54,75,"[63, 340, 508, 531]"
21.000.08838/2017,10001183620175020016,54,47,"[50, 138, 176, 531]"
21.000.08839/2017,10002441020175020009,9,998,"[63, 89, 157, 524, 531, 587, 716]"
21.000.08857/2017,10001382120175020018,54,47,"[50, 138, 176, 531]"
21.000.08861/2017,10022474420165020082,54,61,"[20, 24, 507, 531]"
21.000.08985/2018,10002609420185020019,54,47,"[138, 176, 531]"
21.000.08989/2017,10016033820165020006,54,47,"[50, 138, 176, 531]"
21.000.08992/2017,10003322320175020373,54,47,"[138, 176, 531]"
21.000.08998/2017,10002119220175020373,54,47,"[138, 176, 531]"
21.000.09002/2017,10019245220165020401,54,47,"[138, 176, 531]"
21.000.09004/2018,00126245120175150064,54,46,"[63, 340, 436, 506, 508, 527, 531, 706, 709, 929]"
21.000.09006/2018,10003688820185020063,54,47,"[138, 176, 531]"
21.000.09007/2018,10002432020185020064,54,47,"[138, 176, 531]"
21.000.09008/2018,10001626520185020066,54,47,"[138, 176, 531]"
21.000.09009/2018,10001826120185020614,54,47,"[138, 176, 531]"
21.000.09010/2017,00102452520175150069,54,998,"[2, 25, 58, 62, 63, 99, 408, 503, 531, 716]"
21.000.09010/2018,10002637420185020431,54,54,"[20, 57, 436, 508, 527, 531, 705, 706, 709]"
21.000.09011/2018,10002178920185020074,54,75,"[63, 340, 508, 531]"
21.000.09012/2018,10021030220175020061,54,75,"[63, 340, 508, 531]"
21.000.09013/2018,10002192520185020053,54,47,"[50, 138, 176, 531]"
21.000.09016/2017,10021893220165020473,54,47,"[50, 138, 176, 531]"
21.000.09039/2017,10022374620165020002,54,54,"[63, 340, 436, 527, 621, 705, 706]"
21.000.09041/2017,10002856620175020044,54,998,"[50, 617]"
21.000.09042/2017,10014956120165020021,54,47,"[138, 176, 531]"
21.000.09096/2017,10002584020175020317,9,998,"[89, 157, 524, 531, 587]"
21.000.09104/2017,10002919020175020006,54,47,"[50, 138, 176, 531]"
21.000.09109/2017,10000054720175020060,54,47,"[50, 138, 176, 531]"
21.000.09112/2017,10002038620175020027,54,47,"[138, 176, 531]"
21.000.09115/2017,10016280620165020021,54,47,"[50, 65, 138, 176, 511, 531]"
21.000.09119/2017,10022095420165020010,54,47,"[50, 138, 176, 531]"
21.000.09121/2017,10001432820175020411,203,50,"[63, 96, 527, 531, 586, 621, 705, 706]"
21.000.09123/2017,10002613920175020464,203,50,"[63, 96, 531, 586, 705, 706]"
21.000.09150/2018,10002374720185020473,54,47,"[50, 138, 176, 531]"
21.000.09151/2018,10002349220185020473,54,47,"[50, 138, 176, 531]"
21.000.09152/2018,10001879620185020060,54,47,"[138, 176, 531]"
21.000.09153/2018,10002765820185020048,54,47,"[50, 138, 176, 531]"
21.000.09154/2018,10002607320185020026,54,46,"[63, 409, 531, 929]"
21.000.09155/2018,10002358320185020471,54,47,"[138, 176, 531]"
21.000.09156/2018,10002366820185020471,54,47,"[50, 138, 176, 531]"
21.000.09157/2018,10002392320185020471,54,47,"[50, 138, 176, 531]"
21.000.09158/2018,10002002520185020051,54,47,"[50, 138, 176, 531]"
21.000.09159/2018,10002358320185020083,54,62,"[20, 340, 507, 531]"
21.000.09160/2018,10002819720185020010,54,47,"[138, 176, 531]"
21.000.09161/2018,10002236620185020472,54,47,"[138, 176, 531]"
21.000.09169/2018,10003146720185020049,54,998,"[25, 52, 63, 444, 472, 531, 716]"
21.000.09252/2018,00101916720184036301,47,998,[617]
21.000.09299/2017,10001971720175020468,54,47,"[138, 176, 531]"
21.000.09301/2017,10002934620175020431,9,51,"[63, 436, 524, 531, 621]"
21.000.09303/2017,10017583820165020492,54,62,"[20, 340, 507, 531]"
21.000.09307/2017,10001977620175020028,54,47,"[50, 138, 176, 531]"
21.000.09309/2017,10002386820175020052,54,47,"[50, 138, 176, 531]"
21.000.09317/2017,00082600920164036104,47,45,"[414, 930]"
21.000.09319/2018,10001852920185020060,54,51,"[20, 340, 436, 531, 705, 706]"
21.000.09322/2017,10022802420165020053,54,51,"[50, 63, 340, 436, 506, 527, 531, 621, 705, 706]"
21.000.09323/2017,10003077920175020059,54,47,"[138, 176, 531]"
21.000.09326/2017,10002473020175020052,54,47,"[50, 138, 176, 531]"
21.000.09329/2017,10002392820175020028,54,47,"[50, 138, 176, 531]"
21.000.09330/2017,10014671620165020079,218,998,"[89, 414]"
21.000.09334/2017,10022027120165020007,203,50,"[63, 531, 586]"
21.000.09336/2017,10021689420165020040,54,998,"[8, 63, 340, 531]"
21.000.09349/2018,10002798820185020702,54,47,"[138, 176, 531]"
21.000.09365/2018,10001026020185020012,54,47,"[138, 176, 531]"
21.000.09381/2018,10019327920175020082,54,46,"[63, 340, 437, 506, 531, 535, 706, 929]"
21.000.09384/2018,10003037620185020004,54,47,"[50, 138, 176, 531]"
21.000.09415/2018,10001635420185020291,54,47,"[138, 176, 531]"
21.000.09418/2018,10002270620185020084,54,47,"[65, 138, 175, 531]"
21.000.09426/2018,10000851620185020241,54,54,"[63, 340, 436, 527, 705]"
21.000.09436/2017,10012254020165020020,218,61,"[20, 24, 110, 417]"
21.000.09436/2018,10002845120185020075,54,79,"[50, 340, 531, 617, 716]"
21.000.09437/2017,10003789220175020605,54,47,"[138, 176, 531]"
21.000.09462/2017,10001190320175020313,54,47,"[138, 176, 531]"
21.000.09469/2017,10027608620165020607,54,47,"[138, 176, 531]"
21.000.09502/2017,00000078220175020432,218,44,"[63, 928, 929, 930]"
21.000.09539/2018,10016249520175020291,203,58,"[24, 50, 63, 142, 419, 437, 527, 531, 535, 621, 705, 706, 929]"
21.000.09547/2017,00005392620145020088,238,998,"[1, 19, 63, 75, 89, 110, 176, 524]"
21.000.09555/2017,00019518920145020088,238,51,"[63, 436, 498, 507, 928, 929]"
21.000.09592/2017,10022978520165020077,54,47,"[50, 138, 176, 531]"
21.000.09597/2017,10002795920175020432,54,46,"[63, 340, 506, 929]"
21.000.09598/2017,10002911220175020323,9,998,"[50, 121, 340, 524, 531, 587, 716]"
21.000.09637/2018,10001753120185020271,54,75,"[63, 65, 340, 508, 531]"
21.000.09658/2018,10019400320175020714,54,54,"[63, 340, 436, 506, 508, 621, 705, 709]"
21.000.09737/2017,10001282220175020003,54,47,"[138, 176, 531]"
21.000.09738/2017,10001306620175020431,54,47,"[50, 138, 176, 531]"
21.000.09743/2018,10003150420185020065,54,47,"[138, 176, 531]"
21.000.09745/2018,10002288820185020472,54,47,"[50, 138, 176, 531]"
21.000.09747/2018,10022888020175020468,54,75,"[63, 340, 508, 531]"
21.000.09749/2017,10002880720175020081,54,46,"[63, 506, 531, 929]"
21.000.09754/2018,10020148720175020316,54,54,"[63, 531, 705, 716]"
21.000.09761/2017,10001352520175020064,54,47,"[138, 176, 531]"
21.000.09765/2017,10003002320175020048,54,47,"[50, 138, 176, 531]"
21.000.09767/2017,10003293020175020612,54,47,"[50, 138, 176, 531]"
21.000.09889/2018,10003120320185020048,54,998,"[8, 63, 340, 531]"
21.000.09892/2018,10022242620175020030,54,47,"[138, 176, 531]"
21.000.09894/2018,10003113020185020044,54,47,"[138, 176, 531]"
21.000.09904/2018,10002834120185020051,54,47,"[50, 138, 176, 531]"
21.000.09920/2018,10002175220185020054,54,54,"[63, 340, 527, 531, 705, 706]"
21.000.09925/2017,10003228320175020015,54,998,"[531, 617, 716]"
21.000.09927/2017,00124178620165150064,54,47,"[50, 138, 176, 531]"
21.000.09928/2017,00124117920165150064,54,47,"[50, 138, 176, 531]"
21.000.09929/2017,10022236420165020066,54,998,"[8, 63, 340, 531]"
21.000.09931/2017,10019343220165020002,54,47,"[138, 176, 531]"
21.000.09933/2017,10003303320175020024,54,47,"[50, 138, 176, 531]"
21.000.09937/2017,10001277520175020055,54,47,"[138, 176, 531]"
21.000.09939/2018,10003209720185020009,54,47,"[138, 176, 531]"
21.000.09943/2018,10002581320185020056,54,61,"[20, 24, 340, 507, 531, 716]"
21.000.09946/2018,10024975520175020466,54,49,"[63, 531, 585]"
21.000.09967/2018,10016215720175020351,54,54,"[20, 96, 340, 436, 531, 621, 705, 706, 716]"
21.000.10039/2018,50025523120184036100,43,998,[617]
21.000.10040/2018,10003342420185020028,54,51,"[20, 340, 436, 498, 531, 621]"
21.000.10042/2018,10021375220175020036,54,75,"[63, 65, 508, 531, 716]"
21.000.10051/2018,10025269820175020242,54,46,"[63, 340, 437, 507, 531, 621, 706, 716, 929]"
21.000.10088/2017,10003346720175020607,54,75,"[63, 508, 531]"
21.000.10089/2017,10003789520175020604,54,998,"[50, 340, 531, 617, 716]"
21.000.10092/2017,10001233220175020251,54,47,"[138, 176, 531]"
21.000.10107/2017,10002842420175020063,54,51,"[20, 142, 340, 436, 508, 531, 621, 705, 706, 709]"
21.000.10108/2017,10021395020165020038,54,54,"[63, 340, 527, 531, 706]"
21.000.10109/2017,10003014120175020037,54,46,"[57, 63, 409, 436, 506, 508, 531, 621, 929]"
21.000.10110/2017,10003282320175020005,54,58,"[63, 506, 531, 929]"
21.000.10112/2017,10003148320175020443,54,47,"[50, 138, 176, 531]"
21.000.10153/2017,10003167820175020079,54,47,"[50, 138, 176, 531]"
21.000.10154/2017,00116703920165150064,54,47,"[50, 138, 176, 531]"
21.000.10156/2017,10002938220175020031,54,64,"[63, 409, 502, 531]"
21.000.10197/2018,10019460220175020070,54,54,"[414, 531, 705]"
21.000.10198/2018,10002980320185020603,54,75,"[63, 340, 508, 531]"
21.000.10199/2018,10002713520185020016,54,47,"[138, 176, 531]"
21.000.10200/2018,10003329020185020016,54,75,"[63, 340, 508, 531]"
21.000.10201/2018,10019698320175020025,54,46,"[63, 436, 508, 706, 709, 929]"
21.000.10202/2018,10019871920175020021,54,46,"[8, 63, 928, 929]"
21.000.10203/2018,10024273220175020468,54,51,"[20, 340, 436, 508, 531, 621]"
21.000.10204/2018,10001826920185020482,54,61,"[20, 24, 340, 507, 531]"
21.000.10205/2018,10003208320185020046,54,47,"[50, 138, 176, 531]"
21.000.10221/2018,00000002362017020048,73,47,[572]
21.000.10277/2017,10033483820165020205,54,47,"[138, 176, 531]"
21.000.10282/2018,50051746220174036183,54,998,"[20, 24, 37, 83, 175, 507, 716]"
21.000.10284/2017,10000028820175020708,54,47,"[50, 138, 176, 531]"
21.000.10285/2017,10024214520165020602,54,47,"[138, 176, 531]"
21.000.10289/2017,10002892220175020362,54,47,"[50, 138, 176, 531]"
21.000.10387/2017,10023197320165020068,54,47,"[50, 138, 176, 531]"
21.000.10389/2018,10001363220185020401,54,46,"[3, 63, 436, 508, 531, 621, 705, 709, 716, 929]"
21.000.10391/2018,10003281420185020708,54,75,"[63, 65, 340, 508, 531]"
21.000.10399/2018,10002297320185020472,54,47,"[50, 138, 176, 531]"
21.000.10400/2017,00000082220175020447,218,51,"[24, 63, 142, 409, 419, 436, 506, 507, 527, 621]"
21.000.10407/2017,10017147220165020442,54,47,"[138, 176, 531]"
21.000.10411/2018,10003546520185020076,54,58,"[63, 340, 506, 508, 531, 716]"
21.000.10414/2018,10003976420185020605,54,47,"[50, 138, 176, 531]"
21.000.10418/2018,10002691720185020711,54,47,"[50, 138, 176, 531]"
21.000.10423/2017,10001840320175020085,54,79,"[50, 52, 153, 414, 417, 436, 511, 586, 706]"
21.000.10424/2017,10000487920175020384,54,51,"[63, 340, 436, 527, 621, 705, 706]"
21.000.10470/2018,00000014892018020006,73,79,"[57, 436, 437, 511]"
21.000.10472/2018,10002247320185020012,54,75,"[63, 340, 508, 531]"
21.000.10473/2018,10003277820185020433,54,61,"[20, 24, 340, 507, 531]"
21.000.10474/2018,10019222120175020313,54,75,"[20, 121, 340, 417, 508, 531, 706, 709]"
21.000.10475/2018,10003843820185020614,54,47,"[138, 176, 531]"
21.000.10476/2018,10003313420185020072,54,61,"[20, 24, 507]"
21.000.10477/2018,10003484720185020015,54,75,"[63, 65, 340, 508, 531]"
21.000.10478/2018,10004103920185020613,54,75,"[63, 340, 508, 531, 716]"
21.000.10479/2018,10002456820185020038,54,77,"[20, 121, 340, 352, 531, 716]"
21.000.10480/2018,10003798620185020720,54,50,"[63, 340, 531, 586, 706]"
21.000.10481/2018,10001726220185020017,54,47,"[50, 138, 176, 531]"
21.000.10502/2017,10028572720165020077,54,51,"[50, 63, 142, 340, 409, 436, 506, 507, 531, 535, 621, 705, 706]"
21.000.10504/2017,10002714820175020023,54,47,"[138, 176, 531]"
21.000.10508/2017,10003165820175020021,54,47,"[138, 176, 531]"
21.000.10510/2017,10004367720175020611,54,47,"[50, 138, 176, 531]"
21.000.10511/2017,10001989720175020016,54,47,"[138, 176, 531]"
21.000.10517/2017,10025910220165020607,54,47,"[50, 138, 176, 531]"
21.000.10519/2017,10016905420165020083,54,47,"[50, 138, 176, 531]"
21.000.10521/2017,10002429820175020604,54,47,"[50, 138, 176, 531]"
21.000.10528/2017,10003450820175020604,54,47,"[50, 138, 176, 531]"
21.000.10534/2017,10002977420175020046,54,47,"[138, 176, 531]"
21.000.10538/2017,10019649220165020705,54,47,"[50, 138, 176, 531]"
21.000.10542/2017,10002769020175020081,54,47,"[50, 138, 176, 531]"
21.000.10581/2018,10000705520185020303,203,46,"[63, 340, 436, 506, 508, 531, 621, 705, 706, 929]"
21.000.10583/2018,10002566520185020372,203,46,"[35, 63, 340, 436, 506, 507, 531, 621, 705, 706, 929]"
21.000.10596/2018,10012274820175020481,203,46,"[63, 96, 340, 436, 527, 621, 705, 706, 929]"
21.000.10698/2017,10001729820175020081,54,998,"[50, 340, 531, 617, 716]"
21.000.10700/2017,10003134720175020363,54,47,"[50, 138, 176, 531]"
21.000.10709/2017,10003361020175020034,54,47,"[138, 176, 531]"
21.000.10714/2017,10003810620165020242,54,47,"[138, 176, 531]"
21.000.10734/2017,10003788720175020057,54,998,"[50, 531, 617, 716]"
21.000.10735/2017,10003684120175020090,54,51,"[340, 414, 436, 531, 621, 706]"
21.000.10736/2017,10003584920175020008,54,47,"[50, 138, 176, 531]"
21.000.10737/2017,10016488120165020090,54,47,"[50, 138, 176, 531]"
21.000.10738/2017,10003596220175020710,54,51,"[20, 340, 436, 527, 531, 621, 705, 706]"
21.000.10786/2018,10019594820175020313,54,75,"[20, 340, 508, 531]"
21.000.10787/2018,10019551120175020313,54,75,"[63, 340, 508, 531]"
21.000.10788/2018,10021047820175020063,54,54,"[20, 527, 705]"
21.000.10789/2018,10003061120185020043,54,47,"[50, 138, 176, 531]"
21.000.10790/2018,10002704320185020083,54,75,"[63, 340, 508, 531]"
21.000.10791/2018,10002861520185020077,54,54,"[20, 340, 436, 506, 507, 527, 531, 621, 706]"
21.000.10792/2018,10003556020185020008,54,47,"[138, 176, 531]"
21.000.10793/2018,10014665920175020705,54,50,"[20, 340, 437, 507, 531, 586, 621, 706]"
21.000.10794/2018,10003478020185020009,54,47,"[138, 176, 531]"
21.000.10795/2018,10019502220175020205,54,47,"[65, 138, 176, 531]"
21.000.10837/2017,10003919520175020442,54,51,"[20, 340, 436, 527, 531, 621, 705, 706]"
21.000.10842/2017,10000537920175020068,54,46,"[63, 96, 340, 436, 498, 506, 507, 621, 705, 706, 709, 929]"
21.000.10845/2017,10020964520165020384,54,46,"[63, 340, 506, 507, 531, 705, 706, 709, 929]"
21.000.10848/2017,00046261000811201797,241,47,[933]
21.000.10871/2017,10004008120175020434,9,998,"[89, 157, 340, 524, 531, 587, 716]"
21.000.10876/2017,00000140820175020066,218,61,"[20, 24, 53, 507]"
21.000.10877/2017,10003137620175020321,54,47,"[50, 138, 176, 531]"
21.000.10878/2017,10002715520175020441,54,47,"[138, 176, 531]"
21.000.10879/2017,10003623520175020704,54,47,"[138, 176, 531]"
21.000.10934/2018,00124155320155150064,54,47,"[50, 138, 176, 531]"
21.000.10949/2017,10023522820165020015,54,47,"[65, 138, 176, 531]"
21.000.10959/2018,10001169720185020059,54,47,"[50, 138, 176, 531]"
21.000.10978/2018,10002361320185020263,54,79,"[50, 340, 531, 617, 716]"
21.000.10989/2018,10003161920185020055,54,998,"[50, 63, 340, 472, 531, 716]"
21.000.10994/2018,10002936220185020382,54,47,"[50, 176, 531, 572]"
21.000.11097/2017,10003817120175020015,54,47,"[50, 138, 176, 531]"
21.000.11105/2017,10002540920175020606,54,47,"[138, 176, 531]"
21.000.11111/2017,10000577120175020083,54,47,"[50, 138, 176, 531]"
21.000.11134/2017,00000102820175020047,238,46,"[20, 121, 417, 527, 929]"
21.000.11136/2017,00000188920175020019,218,58,"[20, 24, 506]"
21.000.11146/2017,10001942720175020609,54,998,"[50, 340, 531, 617, 716]"
21.000.11150/2017,10024242520165020432,54,47,"[138, 176, 531]"
21.000.11152/2017,10004309420175020603,54,47,"[138, 176, 531]"
21.000.11153/2017,10018933120165020078,54,47,"[50, 138, 176, 531]"
21.000.11154/2017,10004009620175020041,54,47,"[50, 138, 176, 531]"
21.000.11168/2018,10004182520185020610,54,51,"[63, 340, 436, 506, 508, 531, 621, 706]"
21.000.11169/2018,10002477320185020382,54,47,"[50, 65, 176, 531, 572]"
21.000.11170/2018,10002438720185020074,54,47,"[50, 138, 176, 531]"
21.000.11171/2018,10002846420185020491,54,46,"[63, 340, 436, 508, 531, 621, 705, 706, 716, 929]"
21.000.11172/2018,10017981320175020386,54,47,"[50, 138, 176, 531]"
21.000.11173/2018,10017396520175020017,54,61,"[20, 24, 340, 507, 531]"
21.000.11174/2018,10000929820185020017,54,47,"[138, 176, 531]"
21.000.11175/2018,10023989220175020205,54,46,"[63, 340, 436, 506, 507, 531, 621, 705, 706, 929]"
21.000.11176/2018,10001187620185020056,54,75,"[63, 65, 340, 508, 531]"
21.000.11274/2018,10015292720175020045,203,54,"[63, 507, 508, 527, 531]"
21.000.11275/2017,10004143520175020056,54,51,"[20, 340, 436, 531, 621, 706]"
21.000.11276/2017,10003771420175020054,54,998,"[50, 531, 617, 716]"
21.000.11279/2017,10003405420175020064,54,47,"[138, 176, 531]"
21.000.11282/2017,10003278020175020088,54,47,"[50, 138, 176, 531]"
21.000.11284/2017,10004116120175020709,54,47,"[65, 138, 176, 531]"
21.000.11289/2017,10003789720175020086,54,47,"[138, 176, 531]"
21.000.11318/2017,10016338020165020036,54,998,"[8, 63, 340, 531]"
21.000.11322/2017,10016199620165020036,54,998,"[8, 63, 340, 531]"
21.000.11329/2017,10003383820175020241,54,46,"[340, 414, 436, 507, 508, 527, 531, 621, 705, 929]"
21.000.11425/2017,00000000000000000210,241,47,[933]
21.000.11431/2017,10002947020175020030,54,47,"[138, 176, 531]"
21.000.11434/2017,10004534520175020472,54,47,"[50, 138, 176, 531]"
21.000.11437/2017,10004043420175020074,54,47,"[138, 176, 531]"
21.000.11438/2017,10000292520175020012,54,47,"[50, 138, 176, 511, 531]"
21.000.11439/2017,10002428420175020447,54,47,"[138, 176, 531]"
21.000.11441/2017,10002189420175020402,54,47,"[50, 138, 176, 531]"
21.000.11444/2017,10003175120175020471,54,47,"[50, 138, 176, 531]"
21.000.11508/2018,10002225120185020482,54,75,"[63, 340, 508, 531]"
21.000.11509/2018,10003336820185020374,54,50,"[63, 340, 531, 586, 706]"
21.000.11510/2018,10003345320185020471,54,47,"[50, 138, 176, 531]"
21.000.11511/2018,10002631120185020064,54,47,"[50, 138, 176, 531]"
21.000.11512/2018,10003747120185020071,54,47,"[50, 138, 176, 511, 531]"
21.000.11513/2018,10003610920185020383,54,75,"[20, 340, 506, 507, 508, 706, 709]"
21.000.11514/2018,10003857220185020048,54,47,"[50, 138, 176, 531]"
21.000.11515/2018,10003709320185020019,54,47,"[50, 138, 176, 511, 531]"
21.000.11596/2017,10002462620175020705,54,47,"[50, 176, 531, 572]"
21.000.11603/2017,10017159020165020431,54,47,"[138, 176, 531]"
21.000.11606/2017,10001599020175020084,54,47,"[138, 176, 531]"
21.000.11611/2017,10002883520175020492,54,47,"[138, 176, 531]"
21.000.11619/2017,10022715320165020056,54,77,"[20, 24, 340, 417, 507, 531]"
21.000.11621/2017,10004398420175020044,54,62,"[20, 37, 340, 417, 507, 531, 716]"
21.000.11624/2017,10004210520175020031,54,998,"[8, 63, 531, 716]"
21.000.11625/2017,10004274020175020054,54,62,"[20, 37, 340, 507, 531]"
21.000.11629/2017,10003849620175020606,54,46,"[63, 340, 436, 505, 506, 621, 705, 706, 929]"
21.000.11631/2017,10001444720175020044,54,47,"[138, 176, 531]"
21.000.11637/2017,10001426720175020015,54,46,"[10, 20, 57, 436, 506, 621, 705, 716, 929]"
21.000.11733/2017,00000050320175020048,218,43,"[63, 927]"
21.000.11745/2017,10002768520175020018,54,62,"[20, 37, 417, 507, 531, 716]"
21.000.11752/2017,10012687320165020085,54,998,"[8, 63, 340, 531]"
21.000.11757/2017,10003527320175020030,54,75,"[63, 508, 531]"
21.000.11760/2017,10004436720175020062,54,47,"[138, 176, 531]"
21.000.11767/2017,10002107620175020060,54,47,"[50, 138, 176, 531]"
21.000.11769/2017,10003374920175020016,54,47,"[138, 176, 531]"
21.000.11770/2017,10003776220175020232,54,47,"[138, 176, 531]"
21.000.11773/2017,10023394520165020042,54,62,"[20, 340, 417, 507, 531]"
21.000.11778/2017,10000747720175020384,54,47,"[50, 138, 176, 511, 531]"
21.000.11779/2017,10003531020175020434,54,47,"[50, 138, 176, 531]"
21.000.11782/2017,10004277920175020041,54,47,"[138, 176, 531]"
21.000.11784/2017,10001719520175020087,54,47,"[50, 138, 176, 531]"
21.000.11792/2017,00000197420175020019,218,46,"[24, 63, 65, 419, 506, 507, 929]"
21.000.11911/2018,10003335120185020703,54,49,"[340, 414, 437, 531, 585, 706]"
21.000.11912/2018,10003655520185020089,54,75,"[63, 340, 508, 531]"
21.000.11913/2018,10003048620185020319,54,47,"[65, 138, 176, 531]"
21.000.11914/2018,10018117620175020203,54,75,"[63, 65, 340, 508, 531]"
21.000.11915/2018,10003185820185020323,54,75,"[63, 340, 508, 531]"
21.000.11916/2018,10003870520185020707,54,75,"[63, 65, 340, 508, 531]"
21.000.11917/2018,10019506620175020061,54,54,"[20, 531, 621, 705]"
21.000.11918/2018,10003594720185020057,54,54,"[20, 340, 436, 508, 527, 531, 621, 706]"
21.000.11919/2018,10003808420185020069,26,998,[716]
21.000.11930/2017,10004047920175020059,54,47,"[50, 138, 176, 531]"
21.000.11932/2017,10003780720175020019,54,47,"[50, 138, 176, 531]"
21.000.11933/2017,10000888520175020473,54,47,"[50, 138, 176, 531]"
21.000.11934/2017,10002440420175020011,54,47,"[138, 176, 531]"
21.000.11936/2017,10004704720175020063,54,47,"[50, 138, 176, 531]"
21.000.11941/2017,10006374020165020050,203,47,"[50, 138, 176, 531]"
21.000.11956/2017,00122645320165150064,54,47,"[50, 138, 176, 531]"
21.000.12067/2017,10003061720175020602,54,47,"[50, 138, 176, 531]"
21.000.12068/2017,10003109420175020718,54,47,"[138, 176, 531]"
21.000.12073/2017,10003958120175020071,54,47,"[50, 138, 176, 531]"
21.000.12149/2017,10001080420175020012,54,46,"[50, 63, 96, 340, 436, 498, 506, 507, 621, 705, 706, 929]"
21.000.12152/2017,10005736520165020006,54,998,"[8, 63, 340, 531]"
21.000.12154/2017,00000013220175020317,238,51,"[20, 50, 57, 142, 409, 436, 523, 527, 621]"
21.000.12156/2017,10004805120175020044,54,46,"[63, 506, 531, 929]"
21.000.12159/2017,10003539420175020018,54,54,"[8, 50, 65, 414, 436, 527, 621, 706]"
21.000.12240/2017,10021999420165020467,54,46,"[63, 340, 436, 507, 621, 705, 706, 929]"
21.000.12241/2017,10004372720175020461,54,62,"[20, 37, 340, 417, 507, 531, 705, 716]"
21.000.12243/2017,10001005520175020035,54,998,"[3, 50, 58, 63, 340, 531]"
21.000.12248/2017,10004866820175020461,54,47,"[138, 176, 531]"
21.000.12251/2017,10004692520175020043,54,47,"[138, 176, 531]"
21.000.12254/2017,10000497820175020056,54,47,"[50, 138, 176, 531]"
21.000.12259/2017,10001232920175020446,9,998,"[50, 340, 472, 524, 531, 716]"
21.000.12326/2017,00000027320175020072,218,47,"[138, 176]"
21.000.12328/2017,10004836220175020090,54,61,"[20, 24, 340, 531]"
21.000.12330/2017,10002970820175020068,54,46,"[63, 340, 409, 506, 531, 929]"
21.000.12331/2017,10003941520175020001,54,51,"[63, 340, 436, 527, 705, 706]"
21.000.12342/2017,00000144420175020442,238,46,"[24, 63, 65, 142, 409, 419, 506, 507, 586, 621, 929]"
21.000.12354/2017,10004391120175020036,54,47,"[50, 138, 176, 531]"
21.000.12355/2017,10000429520175020053,54,47,"[138, 176, 531]"
